;emotions.data.angry;emotions.data.disgust;emotions.data.fear;emotions.data.happy;emotions.data.sad;emotions.data.surprise;emotions.data.neutral;ogama_gazepoint.data.trigger
97;8.75-0.0959;8.75-0.0;8.75-0.222;8.75-0.0012;8.75-0.3119;8.75-0.0003;8.75-0.3686;0.0-0
98;8.83-0.1131;8.83-0.0;8.83-0.144;8.83-0.0004;8.83-0.3545;8.83-0.0001;8.83-0.3879;0.0-0
99;8.9-0.019;8.9-0.0;8.9-0.1024;8.9-0.0005;8.9-0.145;8.9-0.0;8.9-0.7331;0.0-0
100;8.97-0.1251;8.97-0.0;8.97-0.1966;8.97-0.0003;8.97-0.4665;8.97-0.0001;8.97-0.2113;0.0-0
101;9.05-0.0419;9.05-0.0;9.05-0.2169;9.05-0.0002;9.05-0.2912;9.05-0.0;9.05-0.4498;0.0-1
102;9.13-0.118;9.13-0.0002;9.13-0.1612;9.13-0.0103;9.13-0.4155;9.13-0.0016;9.13-0.2932;0.0-0
103;9.21-0.0335;9.21-0.0;9.21-0.1029;9.21-0.0003;9.21-0.4643;9.21-0.0002;9.21-0.3989;0.0-0
104;9.28-0.0753;9.28-0.0;9.28-0.1588;9.28-0.0008;9.28-0.2526;9.28-0.0001;9.28-0.5126;0.0-0
105;9.36-0.0556;9.36-0.0;9.36-0.201;9.36-0.0002;9.36-0.2344;9.36-0.0;9.36-0.5087;0.0-0
106;9.43-0.0985;9.43-0.0;9.43-0.1229;9.43-0.0001;9.43-0.4159;9.43-0.0;9.43-0.3626;0.0-0
107;9.5-0.0224;9.5-0.0;9.5-0.2363;9.5-0.0016;9.5-0.1558;9.5-0.0001;9.5-0.5837;0.0-0
108;9.57-0.1335;9.57-0.0001;9.57-0.0968;9.57-0.0004;9.57-0.4062;9.57-0.0001;9.57-0.3628;0.0-0
109;9.64-0.0371;9.64-0.0;9.64-0.1896;9.64-0.0;9.64-0.5666;9.64-0.0001;9.64-0.2065;0.0-0
110;9.71-0.0309;9.71-0.0;9.71-0.2744;9.71-0.0007;9.71-0.4188;9.71-0.0005;9.71-0.2747;0.0-0
111;9.8-0.0023;9.8-0.0;9.8-0.2689;9.8-0.0027;9.8-0.1343;9.8-0.0006;9.8-0.5911;0.0-0
112;9.88-0.0012;9.88-0.0;9.88-0.3654;9.88-0.0011;9.88-0.0864;9.88-0.0001;9.88-0.5458;0.0-0
113;9.95-0.051;9.95-0.0;9.95-0.2036;9.95-0.0104;9.95-0.2097;9.95-0.0007;9.95-0.5245;0.0-0
114;10.02-0.0926;10.02-0.0;10.02-0.2567;10.02-0.0001;10.02-0.3664;10.02-0.0;10.02-0.2841;0.0-0
115;10.11-0.1323;10.11-0.0;10.11-0.1601;10.11-0.0009;10.11-0.3785;10.11-0.0001;10.11-0.3282;0.0-0
116;10.18-0.0725;10.18-0.0;10.18-0.2217;10.18-0.002;10.18-0.2757;10.18-0.0002;10.18-0.4278;0.0-1
